config,n,R@5_strict,R@5_strict_lo,R@5_strict_hi,R@10_strict,R@10_strict_lo,R@10_strict_hi,R@5_lenient,R@5_lenient_lo,R@5_lenient_hi,R@10_lenient,R@10_lenient_lo,R@10_lenient_hi,MRR,MRR_lo,MRR_hi,BERTScore_F1,BERTScore_F1_lo,BERTScore_F1_hi,ROUGE_L,ROUGE_L_lo,ROUGE_L_hi,ConceptCov,ConceptCov_lo,ConceptCov_hi,subject
physics (n=122),122,0.7950819672131147,0.7213114754098361,0.860655737704918,0.8114754098360656,0.7377049180327869,0.8770491803278688,0.9262295081967213,0.8770491803278688,0.9672131147540983,0.9344262295081968,0.8852459016393442,0.9754098360655737,0.8075136612021858,0.7502595628415301,0.8658538251366119,0.8003422622797919,0.7935518056520674,0.8064569851902664,0.12067486286743485,0.10738220513664254,0.13401612977304284,0.36475409836065575,0.2827868852459016,0.44672131147540983,physics
chemistry (n=114),114,0.9210526315789473,0.868421052631579,0.9649122807017544,0.9385964912280702,0.8947368421052632,0.9736842105263158,0.9473684210526315,0.9035087719298246,0.9824561403508771,0.956140350877193,0.9122807017543859,0.9912280701754386,0.8258040935672515,0.7578179824561403,0.8780811403508771,0.8004733867812575,0.7934606827534082,0.8075591935923224,0.12336651435829066,0.1103255690272697,0.13823784566599417,0.40350877192982454,0.3201754385964912,0.4956140350877193,chemistry
maths (n=158),158,0.6835443037974683,0.6075949367088608,0.7531645569620253,0.7784810126582279,0.7150316455696203,0.8417721518987342,0.8544303797468354,0.7974683544303798,0.9113924050632911,0.9240506329113924,0.879746835443038,0.9620253164556962,0.7556585292344786,0.7014293876833434,0.8109702129797066,0.7996519645558128,0.7950969948610174,0.8047026280738131,0.13448385714853486,0.1224849996399917,0.14823770191914912,0.40822784810126583,0.33860759493670883,0.484256329113924,maths
biology (n=179),179,0.8770949720670391,0.8212290502793296,0.9273743016759777,0.9050279329608939,0.8603351955307262,0.9441340782122905,0.9441340782122905,0.9106145251396648,0.9720670391061452,0.9664804469273743,0.9385474860335196,0.9888268156424581,0.8487651857763591,0.8019343575418996,0.8923374456859092,0.8155158321950688,0.8114185262159263,0.819364189585494,0.11654280788705637,0.10855734579124966,0.12527235221890815,0.3743016759776536,0.3100558659217877,0.43582402234636863,biology
