config,n,R@5_lenient,R@5_lenient_lo,R@5_lenient_hi,R@10_lenient,R@10_lenient_lo,R@10_lenient_hi,MRR,MRR_lo,MRR_hi,BERTScore_F1,ROUGE_L,ConceptCov
BM25-Only,573,0.7993019197207679,0.7661431064572426,0.8290139616055846,0.8481675392670157,0.8184991273996509,0.8778359511343804,0.6918744286545334,0.6581514203994571,0.7233210407490513,,,
Dense-Only,573,0.6666666666666666,0.6282722513089005,0.7050610820244329,0.794066317626527,0.7591623036649214,0.8272251308900523,0.5129345688246213,0.47733986744785173,0.547001180780631,,,
Hybrid RRF,573,0.8115183246073299,0.7766143106457243,0.8446771378708552,0.8952879581151832,0.8691099476439791,0.9197207678883071,0.6360813318928502,0.6035190552369871,0.6695797840660407,,,
Hybrid+Rerank,573,0.8970331588132635,0.8726003490401396,0.9214659685863874,0.93717277486911,0.9162303664921466,0.956369982547993,0.7794440289204687,0.7493727665586305,0.806407379705809,,,
Full Pipeline,573,0.9162303664921466,0.893542757417103,0.93717277486911,0.9458987783595113,0.9267015706806283,0.9650959860383944,0.8097405745311504,0.7816136181057647,0.8352428045098201,0.8049180915426417,0.12372727390562616,0.387434554973822
Zero-shot LLM,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8050772559642791,0.10798933880925836,0.3425
