config,n,R@5_strict,R@5_strict_lo,R@5_strict_hi,R@10_strict,R@10_strict_lo,R@10_strict_hi,R@5_lenient,R@5_lenient_lo,R@5_lenient_hi,R@10_lenient,R@10_lenient_lo,R@10_lenient_hi,MRR,MRR_lo,MRR_hi,BERTScore_F1,BERTScore_F1_lo,BERTScore_F1_hi,ROUGE_L,ROUGE_L_lo,ROUGE_L_hi,ConceptCov,ConceptCov_lo,ConceptCov_hi,difficulty
basic (n=288),288,0.84375,0.7986111111111112,0.8819444444444444,0.8958333333333334,0.8576388888888888,0.9305555555555556,0.8680555555555556,0.8229166666666666,0.90625,0.9201388888888888,0.8854166666666666,0.9513888888888888,0.7244102733686067,0.6796133019179895,0.763797191909171,0.8222765947381655,0.8186810990019391,0.8259997081942857,0.15457326665643106,0.1450144385999191,0.1645989603681841,0.5798611111111112,0.5295138888888888,0.6337239583333333,basic
intermediate (n=273),273,0.7838827838827839,0.7325091575091575,0.8315018315018315,0.8168498168498168,0.7655677655677655,0.8608058608058609,0.9633699633699634,0.9413919413919414,0.9816849816849816,0.9706959706959707,0.9487179487179487,0.989010989010989,0.9013474620617477,0.8722504578754579,0.9290497994069423,0.7875641451213823,0.7846679603387584,0.7902932120002669,0.09146568689852758,0.08705811298953903,0.09614191182406899,0.19047619047619047,0.14285714285714285,0.23443223443223443,intermediate
advanced (n=12),12,0.8333333333333334,0.5833333333333334,1.0,0.8333333333333334,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7736111111111111,0.5860763888888889,0.9444444444444443,0.7831162959337234,0.772049039353927,0.7954501671095688,0.11737455229780112,0.08533345070157426,0.15370262205472085,0.25,0.08333333333333333,0.5,advanced
