config,n,R@5_strict,R@5_strict_lo,R@5_strict_hi,R@10_strict,R@10_strict_lo,R@10_strict_hi,R@5_lenient,R@5_lenient_lo,R@5_lenient_hi,R@10_lenient,R@10_lenient_lo,R@10_lenient_hi,MRR,MRR_lo,MRR_hi,BERTScore_F1,BERTScore_F1_lo,BERTScore_F1_hi,ROUGE_L,ROUGE_L_lo,ROUGE_L_hi,ConceptCov,ConceptCov_lo,ConceptCov_hi,type
definition (n=226),226,0.8407079646017699,0.7964601769911505,0.8849557522123894,0.911504424778761,0.8761061946902655,0.9469026548672567,0.8495575221238938,0.8053097345132744,0.8938053097345132,0.915929203539823,0.8805309734513275,0.9470132743362831,0.6701924427588145,0.6180952819918527,0.7162304660064616,0.8313102579749791,0.8277631081970392,0.8349051093633195,0.17230681575334716,0.16108685183769325,0.18369878120303218,0.7168141592920354,0.668141592920354,0.7654867256637168,definition
conceptual (n=200),200,0.76,0.695,0.82,0.8,0.74,0.855,0.955,0.925,0.985,0.965,0.94,0.99,0.8907559523809523,0.8499151785714285,0.9288760416666667,0.7904473760724068,0.7872346273362636,0.7940115692391992,0.09547176139868568,0.08963465168621543,0.10109790210292413,0.195,0.14,0.25,conceptual
numerical (n=78),78,0.8076923076923077,0.7176282051282051,0.8846153846153846,0.8076923076923077,0.7176282051282051,0.8846153846153846,0.9487179487179487,0.8974358974358975,0.9871794871794872,0.9487179487179487,0.8974358974358975,0.9871794871794872,0.9017094017094018,0.8397435897435898,0.9551282051282052,0.7744196164302337,0.769843554439453,0.7795005235152367,0.08662970314414939,0.07671649120116522,0.09583960813409412,0.15384615384615385,0.07692307692307693,0.23108974358974332,numerical
factual (n=46),46,0.8478260869565217,0.7391304347826086,0.9347826086956522,0.8478260869565217,0.7391304347826086,0.9347826086956522,0.9782608695652174,0.9347826086956522,1.0,0.9782608695652174,0.9347826086956522,1.0,0.9202898550724636,0.855072463768116,0.9782608695652174,0.7915368248587069,0.7836412118828815,0.799432424488275,0.08697990662430552,0.07651539133546822,0.09777293652359109,0.15217391304347827,0.06521739130434782,0.2608695652173913,factual
reasoning (n=23),23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9434782608695652,0.8521739130434781,1.0,0.8016108222629713,0.7936880788725356,0.8097435447832813,0.09138446773776016,0.07924200903925463,0.10454559055680533,0.08695652173913043,0.0,0.21739130434782608,reasoning
